time	step	repo	object	action	saved_ref	verified	restore	note
10:45	1	materials	zayavka 2026-09-19T1522-katalog-kursa-kod-katalog-kursa-md	close	e4310e14	yes	mv sdelano/<id>.md back to zayavki/	заход svedenie 2026-09-25: materials status 0 после консервации (arka/mat-kostyak e4310e14); disciplina: check_arhiv.py и fixtures/arhiv в git, main d71fe4afc вывезен [file in sdelano/; tool rc=1 only on a git add of the ignored zayavki/ dir]
10:45	1	materials	zayavka 2026-09-19T2144-19-09-handoff-2026-09-20	close	e4310e14	yes	mv sdelano/<id>.md back to zayavki/	заход svedenie 2026-09-25: всё названное в git: materials e4310e14, disciplina d71fe4afc, оба вывезены [file in sdelano/; tool rc=1 only on a git add of the ignored zayavki/ dir]
10:45	1	materials	zayavka 2026-09-19T2247-19-09-kurs-puti-i-volny	close	9499c612	yes	mv sdelano/<id>.md back to zayavki/	заход svedenie 2026-09-25: kurs-puti-i-volny закоммичен 9499c612 (PDF в istochniki по-прежнему вне git), disciplina d71fe4afc [file in sdelano/; tool rc=1 only on a git add of the ignored zayavki/ dir]
10:45	1	materials	zayavka 2026-09-20T1840-2-20-09-ucheniki-15-11	close	c4da9a25	yes	mv sdelano/<id>.md back to zayavki/	заход svedenie 2026-09-25: ucheniki закоммичен c4da9a25, _studio bb066eae, вывезено [file in sdelano/; tool rc=1 only on a git add of the ignored zayavki/ dir]
10:45	1	materials	zayavka 2026-09-20T1855-2026-09-20t1840-studio-zhurnal-2026	close	bb066eae	yes	mv sdelano/<id>.md back to zayavki/	заход svedenie 2026-09-25: _studio закоммичен bb066eae, ucheniki c4da9a25, вывезено [file in sdelano/; tool rc=1 only on a git add of the ignored zayavki/ dir]
10:45	1	materials	zayavka 2026-09-20T1858-git-incidenty-lock-20-09-18	close	-	yes	mv sdelano/<id>.md back to zayavki/	заход svedenie 2026-09-25: .git/incidenty.lock на 2026-09-25 отсутствует — гасить нечего [file in sdelano/; tool rc=1 only on a git add of the ignored zayavki/ dir]
10:45	1	materials	zayavka 2026-09-22T0251-18-09-22-09-diskmat-57	close	54261792	yes	mv sdelano/<id>.md back to zayavki/	заход svedenie 2026-09-25: diskmat-57 закоммичен 54261792 (+ .log в служебное e4310e14), вывезено [file in sdelano/; tool rc=1 only on a git add of the ignored zayavki/ dir]
10:45	1	materials	zayavka 2026-09-23T0027-diskmat-57-2026-08-18-logika	close	54261792	yes	mv sdelano/<id>.md back to zayavki/	заход svedenie 2026-09-25: вся арка diskmat-57 закоммичена одним коммитом 54261792 (разделить линии без чтения содержания нельзя); .log закоммичен группой служебное e4310e14 по правилу захода; дубль VYGRUZKA не гасился — правка содержания вне мандата [file in sdelano/; tool rc=1 only on a git add of the ignored zayavki/ dir]
10:45	1	materials	zayavka 2026-09-23T1445-diskmat-57-kruzhok-logika-hvost	close	54261792	yes	mv sdelano/<id>.md back to zayavki/	заход svedenie 2026-09-25: закоммичено в 54261792 вместе с основной заявкой [file in sdelano/; tool rc=1 only on a git add of the ignored zayavki/ dir]
10:45	1	materials	zayavka 2026-09-23T1510-2026-09-23t0027-diskmat-57-2026	close	54261792	yes	mv sdelano/<id>.md back to zayavki/	заход svedenie 2026-09-25: закоммичено в 54261792, вывезено [file in sdelano/; tool rc=1 only on a git add of the ignored zayavki/ dir]
10:45	1	materials	zayavka 2026-09-24T1737-otkaz-studio-zhurnal-2026-09-24-arhitektura	close	-	yes	mv sdelano/<id>.md back to zayavki/	заход svedenie 2026-09-25: зона арки в git на ветке claude/bold-faraday-wq09ql; в главной папке status 0 [file in sdelano/; tool rc=1 only on a git add of the ignored zayavki/ dir]
10:45	1	materials	zayavka 2026-09-25T1043-otkaz-ot-maksa	close	9e4a228a5	yes	mv sdelano/<id>.md back to zayavki/	auto-closed by git_zona itself when the valve commit succeeded (file gone from zayavki/)
10:45	1	materials	zayavka 2026-09-25T1043-otkaz-studio-zhurnal	close	d71fe4afc	yes	mv sdelano/<id>.md back to zayavki/	auto-closed by git_zona itself when the valve commit succeeded (file gone from zayavki/)
10:47	2	disciplina	zahod/kanaly-razvedka-sud-pochinka	merge	f7bdc4743	in trunk locally	git revert -m1 f7bdc4743	tip 1419f530b
10:47	2	disciplina	zahod/korpus-pravil-i-rychagov	merge	94e5b3130	in trunk locally	git revert -m1 94e5b3130	tip 119aad412
10:47	2	disciplina	zahod/potolok-iz-mandata	merge	2e3be7eeb	in trunk locally	git revert -m1 2e3be7eeb	tip 9e86ea512
10:47	2	disciplina	zahod/rol-subagenta-kontrakt	merge	723fc2e73	in trunk locally	git revert -m1 723fc2e73	tip 1e8116eff
10:48	2	disciplina	zahod/generator-rychaga (up to 33ebd512e)	merge	374e825b0	in trunk locally; rychag PROGNAT rc above	git revert -m1 374e825b0	conflict KARTA.md resolved by trunk side (trunk already had the same registration line); tip commit cf5e91692 (3 rescue backup files .rej/.iz-osnovnogo) NOT merged, branch left, VOPROSY
10:48	2	disciplina	zahod/zhivost-modeli-dovozit-a-ne-otvechaet	merge	6952cd5fa	in trunk locally	git revert -m1 6952cd5fa	patch already in trunk as c77d6fb10 (git cherry =); conflicts modeli.py + MODELI-ZHIVOST.json resolved by trunk side; merge changes no content
10:48	2	disciplina	zayavka 2026-09-25T1047-otkaz-svedenie-generator-rychaga-gotovo-main-1	close	bcff13a62	yes	-	auto-request from the KARTA conflict stop, resolved
10:48	2	disciplina	zayavka 2026-09-25T1048-otkaz-zahod-zhivost-modeli-dovozit-a-ne	close	-	yes	-	auto-request from the zhivost conflict stop, resolved
10:49	2	materials	claude/bold-faraday-wq09ql	merge	a8fc2794	in trunk, pushed d4d497f6	git revert -m1 a8fc2794	via git_zona.py merge into the current branch arka/mat-kostyak; carries zahod/perepis-diska and zahod/uborka-materials; vlit-v-osnovnuyu was NOT usable: it targets main (the site) and refused on zone, nothing merged, incident auto-logged
10:50	2	disciplina	zahod/baza-i-srez-pri-podyome	skip	mogila/zahod/baza-i-srez-pri-podyome=9ceedcb38	no	git_zona.py voskresit --branch zahod/baza-i-srez-pri-podyome	NOT closed: a tombstone of the same name already exists on an older tip; branch fully in trunk, kept — VOPROSY #2
10:50	2	disciplina	zahod/cena-volny-snimaetsya-instrumentom	skip	mogila/zahod/cena-volny-snimaetsya-instrumentom=c59a67577	no	git_zona.py voskresit --branch zahod/cena-volny-snimaetsya-instrumentom	NOT closed: a tombstone of the same name already exists on an older tip; branch fully in trunk, kept — VOPROSY #2
10:50	2	disciplina	zahod/chasovoj-ne-umiraet-molcha	tombstone	mogila/zahod/chasovoj-ne-umiraet-molcha=d638f8db3	yes	git_zona.py voskresit --branch zahod/chasovoj-ne-umiraet-molcha	fully in main (rc=0)
10:50	2	disciplina	zahod/chasovoj-zhurnal-volny	tombstone	mogila/zahod/chasovoj-zhurnal-volny=2309528a5	yes	git_zona.py voskresit --branch zahod/chasovoj-zhurnal-volny	fully in main (rc=0)
10:50	2	disciplina	zahod/dajdzhest-otvyazka-ot-repo	skip	mogila/zahod/dajdzhest-otvyazka-ot-repo=5517f5b54	no	git_zona.py voskresit --branch zahod/dajdzhest-otvyazka-ot-repo	NOT closed: a tombstone of the same name already exists on an older tip; branch fully in trunk, kept — VOPROSY #2
10:50	2	disciplina	zahod/denezhnye-puly-i-proba-zhivosti-modeli	tombstone	mogila/zahod/denezhnye-puly-i-proba-zhivosti-modeli=214b0aa98	yes	git_zona.py voskresit --branch zahod/denezhnye-puly-i-proba-zhivosti-modeli	fully in main (rc=0)
10:50	2	disciplina	zahod/diagnoz-orkestratora	tombstone	mogila/zahod/diagnoz-orkestratora=9d56cc020	yes	git_zona.py voskresit --branch zahod/diagnoz-orkestratora	fully in main (rc=0)
10:50	2	disciplina	zahod/dirizher-klass-prichiny-mashinno	skip	mogila/zahod/dirizher-klass-prichiny-mashinno=9500e64d3	no	git_zona.py voskresit --branch zahod/dirizher-klass-prichiny-mashinno	NOT closed: a tombstone of the same name already exists on an older tip; branch fully in trunk, kept — VOPROSY #2
10:50	2	disciplina	zahod/dirizher-po-zameru	tombstone	mogila/zahod/dirizher-po-zameru=68c9c4146	yes	git_zona.py voskresit --branch zahod/dirizher-po-zameru	fully in main (rc=0)
10:50	2	disciplina	zahod/faza-uborki-razrezana	skip	mogila/zahod/faza-uborki-razrezana=6ed2d970f	no	git_zona.py voskresit --branch zahod/faza-uborki-razrezana	NOT closed: a tombstone of the same name already exists on an older tip; branch fully in trunk, kept — VOPROSY #2
10:50	2	disciplina	zahod/generator-startovaya-stroka	skip	mogila/zahod/generator-startovaya-stroka=263ecd3f4	no	git_zona.py voskresit --branch zahod/generator-startovaya-stroka	NOT closed: a tombstone of the same name already exists on an older tip; branch fully in trunk, kept — VOPROSY #2
10:50	2	disciplina	zahod/gigiena-repozitoriya-worktree-vetki-vyvoz	tombstone	mogila/zahod/gigiena-repozitoriya-worktree-vetki-vyvoz=893d0096f	yes	git_zona.py voskresit --branch zahod/gigiena-repozitoriya-worktree-vetki-vyvoz	fully in main (rc=0)
10:50	2	disciplina	zahod/huk-puti-v-zahodah	tombstone	mogila/zahod/huk-puti-v-zahodah=a4a0bf916	yes	git_zona.py voskresit --branch zahod/huk-puti-v-zahodah	fully in main (rc=0)
10:50	2	disciplina	zahod/huk-start-sessii	tombstone	mogila/zahod/huk-start-sessii=708bcbfb3	yes	git_zona.py voskresit --branch zahod/huk-start-sessii	fully in main (rc=0)
10:50	2	disciplina	zahod/huk-vyvoz-vetki	tombstone	mogila/zahod/huk-vyvoz-vetki=2b73cd44d	yes	git_zona.py voskresit --branch zahod/huk-vyvoz-vetki	fully in main (rc=0)
10:50	2	disciplina	zahod/huki-karkas	tombstone	mogila/zahod/huki-karkas=9bdb76796	yes	git_zona.py voskresit --branch zahod/huki-karkas	fully in main (rc=0)
10:50	2	disciplina	zahod/hvosty-d10	skip	mogila/zahod/hvosty-d10=6ed2d970f	no	git_zona.py voskresit --branch zahod/hvosty-d10	NOT closed: a tombstone of the same name already exists on an older tip; branch fully in trunk, kept — VOPROSY #2
10:50	2	disciplina	zahod/hvosty-vynosa	skip	mogila/zahod/hvosty-vynosa=84e9535fc	no	git_zona.py voskresit --branch zahod/hvosty-vynosa	NOT closed: a tombstone of the same name already exists on an older tip; branch fully in trunk, kept — VOPROSY #2
10:50	2	disciplina	zahod/kanaly-razvedka-sud-pochinka	tombstone	mogila/zahod/kanaly-razvedka-sud-pochinka=1419f530b	yes	git_zona.py voskresit --branch zahod/kanaly-razvedka-sud-pochinka	fully in main (rc=0)
10:50	2	disciplina	zahod/kanon-mandata-v-generatore	skip	mogila/zahod/kanon-mandata-v-generatore=4e6a47130	no	git_zona.py voskresit --branch zahod/kanon-mandata-v-generatore	NOT closed: a tombstone of the same name already exists on an older tip; branch fully in trunk, kept — VOPROSY #2
10:50	2	disciplina	zahod/karta-mashiny-orkestratora	skip	mogila/zahod/karta-mashiny-orkestratora=38438d2e7	no	git_zona.py voskresit --branch zahod/karta-mashiny-orkestratora	NOT closed: a tombstone of the same name already exists on an older tip; branch fully in trunk, kept — VOPROSY #2
10:50	2	disciplina	zahod/karta-mashiny-v2	tombstone	mogila/zahod/karta-mashiny-v2=9cc53c7bc	yes	git_zona.py voskresit --branch zahod/karta-mashiny-v2	fully in main (rc=0)
10:50	2	disciplina	zahod/kartochka-uroka-chem-i-predmet	skip	mogila/zahod/kartochka-uroka-chem-i-predmet=38438d2e7	no	git_zona.py voskresit --branch zahod/kartochka-uroka-chem-i-predmet	NOT closed: a tombstone of the same name already exists on an older tip; branch fully in trunk, kept — VOPROSY #2
10:50	2	disciplina	zahod/konvejer-suda-urokov	tombstone	mogila/zahod/konvejer-suda-urokov=1df627f88	yes	git_zona.py voskresit --branch zahod/konvejer-suda-urokov	fully in main (rc=0)
10:50	2	disciplina	zahod/korpus-pravil-i-rychagov	tombstone	mogila/zahod/korpus-pravil-i-rychagov=119aad412	yes	git_zona.py voskresit --branch zahod/korpus-pravil-i-rychagov	fully in main (rc=0)
10:50	2	disciplina	zahod/limit-kak-limit	tombstone	mogila/zahod/limit-kak-limit=4c81a87e8	yes	git_zona.py voskresit --branch zahod/limit-kak-limit	fully in main (rc=0)
10:50	2	disciplina	zahod/mandat-atomarnaya-zapis-i-lint	skip	mogila/zahod/mandat-atomarnaya-zapis-i-lint=dbedab429	no	git_zona.py voskresit --branch zahod/mandat-atomarnaya-zapis-i-lint	NOT closed: a tombstone of the same name already exists on an older tip; branch fully in trunk, kept — VOPROSY #2
10:50	2	disciplina	zahod/mandat-proizvoditsya-konvejerom-a-ne-pamyatyu	tombstone	mogila/zahod/mandat-proizvoditsya-konvejerom-a-ne-pamyatyu=e5b75c325	yes	git_zona.py voskresit --branch zahod/mandat-proizvoditsya-konvejerom-a-ne-pamyatyu	fully in main (rc=0)
10:50	2	disciplina	zahod/ostatok-generatora	skip	mogila/zahod/ostatok-generatora=0ebd89d88	no	git_zona.py voskresit --branch zahod/ostatok-generatora	NOT closed: a tombstone of the same name already exists on an older tip; branch fully in trunk, kept — VOPROSY #2
10:50	2	disciplina	zahod/pechat-imeni-ne-vyzov	skip	mogila/zahod/pechat-imeni-ne-vyzov=38438d2e7	no	git_zona.py voskresit --branch zahod/pechat-imeni-ne-vyzov	NOT closed: a tombstone of the same name already exists on an older tip; branch fully in trunk, kept — VOPROSY #2
10:50	2	disciplina	zahod/podmetanie-raz-na-volnu	tombstone	mogila/zahod/podmetanie-raz-na-volnu=1dc871ab7	yes	git_zona.py voskresit --branch zahod/podmetanie-raz-na-volnu	fully in main (rc=0)
10:50	2	disciplina	zahod/pokrytie-chtenie-i-klassifikaciya	skip	mogila/zahod/pokrytie-chtenie-i-klassifikaciya=9500e64d3	no	git_zona.py voskresit --branch zahod/pokrytie-chtenie-i-klassifikaciya	NOT closed: a tombstone of the same name already exists on an older tip; branch fully in trunk, kept — VOPROSY #2
10:50	2	disciplina	zahod/pokrytie-geyt-i-schyotchik	skip	mogila/zahod/pokrytie-geyt-i-schyotchik=57c7a09a8	no	git_zona.py voskresit --branch zahod/pokrytie-geyt-i-schyotchik	NOT closed: a tombstone of the same name already exists on an older tip; branch fully in trunk, kept — VOPROSY #2
10:50	2	disciplina	zahod/potolok-iz-mandata	tombstone	mogila/zahod/potolok-iz-mandata=9e86ea512	yes	git_zona.py voskresit --branch zahod/potolok-iz-mandata	fully in main (rc=0)
10:50	2	disciplina	zahod/pre-commit-odin-diff	tombstone	mogila/zahod/pre-commit-odin-diff=f785ab38e	yes	git_zona.py voskresit --branch zahod/pre-commit-odin-diff	fully in main (rc=0)
10:50	2	disciplina	zahod/predlozhenie-yadra-skilla	tombstone	mogila/zahod/predlozhenie-yadra-skilla=f10acb3bf	yes	git_zona.py voskresit --branch zahod/predlozhenie-yadra-skilla	fully in main (rc=0)
10:50	2	disciplina	zahod/priyomka-cherez-priyomshchika	tombstone	mogila/zahod/priyomka-cherez-priyomshchika=20d97e242	yes	git_zona.py voskresit --branch zahod/priyomka-cherez-priyomshchika	fully in main (rc=0)
10:50	2	disciplina	zahod/priyomka-g3-g12-g14-vetka	skip	mogila/zahod/priyomka-g3-g12-g14-vetka=edc532b3c	no	git_zona.py voskresit --branch zahod/priyomka-g3-g12-g14-vetka	NOT closed: a tombstone of the same name already exists on an older tip; branch fully in trunk, kept — VOPROSY #2
10:50	2	disciplina	zahod/razmetka-urokov-orkestratora	skip	mogila/zahod/razmetka-urokov-orkestratora=af0bb9ebb	no	git_zona.py voskresit --branch zahod/razmetka-urokov-orkestratora	NOT closed: a tombstone of the same name already exists on an older tip; branch fully in trunk, kept — VOPROSY #2
10:50	2	disciplina	zahod/rezolver-fajl-v-skille	tombstone	mogila/zahod/rezolver-fajl-v-skille=5bc176aa8	yes	git_zona.py voskresit --branch zahod/rezolver-fajl-v-skille	fully in main (rc=0)
10:50	2	disciplina	zahod/rol-subagenta-kontrakt	tombstone	mogila/zahod/rol-subagenta-kontrakt=1e8116eff	yes	git_zona.py voskresit --branch zahod/rol-subagenta-kontrakt	fully in main (rc=0)
10:50	2	disciplina	zahod/sborka-s4-s7	skip	mogila/zahod/sborka-s4-s7=c58c14241	no	git_zona.py voskresit --branch zahod/sborka-s4-s7	NOT closed: a tombstone of the same name already exists on an older tip; branch fully in trunk, kept — VOPROSY #2
10:50	2	disciplina	zahod/sborshchik-chetyre-roli	tombstone	mogila/zahod/sborshchik-chetyre-roli=d4fd935c9	yes	git_zona.py voskresit --branch zahod/sborshchik-chetyre-roli	fully in main (rc=0)
10:50	2	disciplina	zahod/sborshchik-i-vedushchij-porog-ostanovki-razvilki	tombstone	mogila/zahod/sborshchik-i-vedushchij-porog-ostanovki-razvilki=83f2b6b0c	yes	git_zona.py voskresit --branch zahod/sborshchik-i-vedushchij-porog-ostanovki-razvilki	fully in main (rc=0)
10:50	2	disciplina	zahod/schet-rychagov-i-rol-hod	skip	mogila/zahod/schet-rychagov-i-rol-hod=feb487b60	no	git_zona.py voskresit --branch zahod/schet-rychagov-i-rol-hod	NOT closed: a tombstone of the same name already exists on an older tip; branch fully in trunk, kept — VOPROSY #2
10:50	2	disciplina	zahod/skill-dajdzhest-dovodka	skip	mogila/zahod/skill-dajdzhest-dovodka=66a2fea8c	no	git_zona.py voskresit --branch zahod/skill-dajdzhest-dovodka	NOT closed: a tombstone of the same name already exists on an older tip; branch fully in trunk, kept — VOPROSY #2
10:50	2	disciplina	zahod/skill-reserch-dovodka	skip	mogila/zahod/skill-reserch-dovodka=11865ea16	no	git_zona.py voskresit --branch zahod/skill-reserch-dovodka	NOT closed: a tombstone of the same name already exists on an older tip; branch fully in trunk, kept — VOPROSY #2
10:50	2	disciplina	zahod/sklejka-sajta-i-vhoda	tombstone	mogila/zahod/sklejka-sajta-i-vhoda=0b2c4b626	yes	git_zona.py voskresit --branch zahod/sklejka-sajta-i-vhoda	fully in main (rc=0)
10:50	2	disciplina	zahod/skvoznoj-progon	skip	mogila/zahod/skvoznoj-progon=2af3bb050	no	git_zona.py voskresit --branch zahod/skvoznoj-progon	NOT closed: a tombstone of the same name already exists on an older tip; branch fully in trunk, kept — VOPROSY #2
10:50	2	disciplina	zahod/sostav-zhurnal-i-prichiny-po-id	skip	mogila/zahod/sostav-zhurnal-i-prichiny-po-id=9fea38fdc	no	git_zona.py voskresit --branch zahod/sostav-zhurnal-i-prichiny-po-id	NOT closed: a tombstone of the same name already exists on an older tip; branch fully in trunk, kept — VOPROSY #2
10:50	2	disciplina	zahod/uzel-f0-sostav-2	tombstone	mogila/zahod/uzel-f0-sostav-2=c53af0f49	yes	git_zona.py voskresit --branch zahod/uzel-f0-sostav-2	fully in main (rc=0)
10:50	2	disciplina	zahod/uzel-f6-dostavka	tombstone	mogila/zahod/uzel-f6-dostavka=a084ff590	yes	git_zona.py voskresit --branch zahod/uzel-f6-dostavka	fully in main (rc=0)
10:50	2	disciplina	zahod/uzel-f7-registraciya-2	tombstone	mogila/zahod/uzel-f7-registraciya-2=8a3a4b929	yes	git_zona.py voskresit --branch zahod/uzel-f7-registraciya-2	fully in main (rc=0)
10:50	2	disciplina	zahod/vyhod-s-ozhidaniem	skip	mogila/zahod/vyhod-s-ozhidaniem=9ceedcb38	no	git_zona.py voskresit --branch zahod/vyhod-s-ozhidaniem	NOT closed: a tombstone of the same name already exists on an older tip; branch fully in trunk, kept — VOPROSY #2
10:50	2	disciplina	zahod/vyvoz-bez-chuzhoj-istorii	tombstone	mogila/zahod/vyvoz-bez-chuzhoj-istorii=ae93ccb64	yes	git_zona.py voskresit --branch zahod/vyvoz-bez-chuzhoj-istorii	fully in main (rc=0)
10:50	2	disciplina	zahod/vyvoz-i-nadgrobiya	skip	mogila/zahod/vyvoz-i-nadgrobiya=aa7527107	no	git_zona.py voskresit --branch zahod/vyvoz-i-nadgrobiya	NOT closed: a tombstone of the same name already exists on an older tip; branch fully in trunk, kept — VOPROSY #2
10:50	2	disciplina	zahod/workflow-lekcia	skip	mogila/zahod/workflow-lekcia=29b3af2c3	no	git_zona.py voskresit --branch zahod/workflow-lekcia	NOT closed: a tombstone of the same name already exists on an older tip; branch fully in trunk, kept — VOPROSY #2
10:50	2	disciplina	zahod/yashchik-golovy	tombstone	mogila/zahod/yashchik-golovy=28b8233f2	yes	git_zona.py voskresit --branch zahod/yashchik-golovy	fully in main (rc=0)
10:50	2	disciplina	zahod/zakon-zakrytiya-ohvat-i-uslovie-g	skip	mogila/zahod/zakon-zakrytiya-ohvat-i-uslovie-g=6893d523d	no	git_zona.py voskresit --branch zahod/zakon-zakrytiya-ohvat-i-uslovie-g	NOT closed: a tombstone of the same name already exists on an older tip; branch fully in trunk, kept — VOPROSY #2
10:50	2	disciplina	zahod/zakon-zakrytiya-perepisan-i-sudit-sebya	skip	mogila/zahod/zakon-zakrytiya-perepisan-i-sudit-sebya=4a6d192a9	no	git_zona.py voskresit --branch zahod/zakon-zakrytiya-perepisan-i-sudit-sebya	NOT closed: a tombstone of the same name already exists on an older tip; branch fully in trunk, kept — VOPROSY #2
10:50	2	disciplina	zahod/zhivost-modeli-dovozit-a-ne-otvechaet	skip	mogila/zahod/zhivost-modeli-dovozit-a-ne-otvechaet=2cd066b06	no	git_zona.py voskresit --branch zahod/zhivost-modeli-dovozit-a-ne-otvechaet	NOT closed: a tombstone of the same name already exists on an older tip; branch fully in trunk, kept — VOPROSY #2
10:50	2	disciplina	zahod/zhivost-porog-i-posledovatelno	skip	mogila/zahod/zhivost-porog-i-posledovatelno=28815e609	no	git_zona.py voskresit --branch zahod/zhivost-porog-i-posledovatelno	NOT closed: a tombstone of the same name already exists on an older tip; branch fully in trunk, kept — VOPROSY #2
10:50	2	materials	claude/bold-faraday-wq09ql	tombstone	mogila/claude/bold-faraday-wq09ql=9a4ce4fe	yes	git_zona.py voskresit --branch claude/bold-faraday-wq09ql	fully in arka/mat-kostyak (rc=0)
10:50	2	materials	zahod/chistka-hvostov	skip	mogila/zahod/chistka-hvostov=70c888dd	no	git_zona.py voskresit --branch zahod/chistka-hvostov	NOT closed: a tombstone of the same name already exists on an older tip; branch fully in trunk, kept — VOPROSY #2
10:50	2	materials	zahod/dobivka-dolgov	skip	mogila/zahod/dobivka-dolgov=8fce8cf5	no	git_zona.py voskresit --branch zahod/dobivka-dolgov	NOT closed: a tombstone of the same name already exists on an older tip; branch fully in trunk, kept — VOPROSY #2
10:50	2	materials	zahod/dovodka-fazy-intervyu	skip	mogila/zahod/dovodka-fazy-intervyu=a0e3e18c	no	git_zona.py voskresit --branch zahod/dovodka-fazy-intervyu	NOT closed: a tombstone of the same name already exists on an older tip; branch fully in trunk, kept — VOPROSY #2
10:50	2	materials	zahod/uborka-materials	tombstone	mogila/zahod/uborka-materials=666b4077	yes	git_zona.py voskresit --branch zahod/uborka-materials	fully in arka/mat-kostyak (rc=0)
10:50	2	materials	zahod/uborka-pered-pauzoj	skip	mogila/zahod/uborka-pered-pauzoj=34c9a4ee	no	git_zona.py voskresit --branch zahod/uborka-pered-pauzoj	NOT closed: a tombstone of the same name already exists on an older tip; branch fully in trunk, kept — VOPROSY #2
10:50	2	materials	zahod/vlit-i-uspokoitsya	skip	mogila/zahod/vlit-i-uspokoitsya=e6fd580d	no	git_zona.py voskresit --branch zahod/vlit-i-uspokoitsya	NOT closed: a tombstone of the same name already exists on an older tip; branch fully in trunk, kept — VOPROSY #2
10:50	2	materials	zahod/vlitie-i-vitrina-kursa	skip	mogila/zahod/vlitie-i-vitrina-kursa=e21a4bae	no	git_zona.py voskresit --branch zahod/vlitie-i-vitrina-kursa	NOT closed: a tombstone of the same name already exists on an older tip; branch fully in trunk, kept — VOPROSY #2
10:50	2	matproekty-179	zahod/nepodtverzhdennye	tombstone	mogila/zahod/nepodtverzhdennye=0233d36	yes	git_zona.py voskresit --branch zahod/nepodtverzhdennye	fully in main (rc=0)
10:50	2	spetsmat-bot	listki-kak-baza-zadach	tombstone	mogila/listki-kak-baza-zadach=1733242	yes	git_zona.py voskresit --branch listki-kak-baza-zadach	fully in main (rc=0)
10:50	2	spetsmat-bot	pravka/admin-svoyo	tombstone	mogila/pravka/admin-svoyo=1aa0813	yes	git_zona.py voskresit --branch pravka/admin-svoyo	fully in main (rc=0)
10:50	2	spetsmat-bot	pravka/kabinet-na-den	tombstone	mogila/pravka/kabinet-na-den=6ef7b56	yes	git_zona.py voskresit --branch pravka/kabinet-na-den	fully in main (rc=0)
10:50	2	spetsmat-bot	pravka/konduit-shirina	tombstone	mogila/pravka/konduit-shirina=5320a87	yes	git_zona.py voskresit --branch pravka/konduit-shirina	fully in main (rc=0)
10:50	2	spetsmat-bot	pravka/konduit-vid	tombstone	mogila/pravka/konduit-vid=8b3a97d	yes	git_zona.py voskresit --branch pravka/konduit-vid	fully in main (rc=0)
10:50	2	spetsmat-bot	pravka/lichnoe-v-kartochke	tombstone	mogila/pravka/lichnoe-v-kartochke=1b9d518	yes	git_zona.py voskresit --branch pravka/lichnoe-v-kartochke	fully in main (rc=0)
