source	target	kind
chast-p-17	god-p-17	links
chast-p-18	god-p-18	links
chast-p-19	god-p-19	links
chast-p-20	god-p-20	links
chast-p-21	god-p-21	links
chast-p-22	god-p-22	links
chast-p-23	god-p-23	links
chast-p-24	god-p-24	links
chast-p-25	god-p-25	links
chast-p-26	god-p-26	links
chast-p-27	god-p-27	links
chetvert-p-01	chast-p-01	links
chetvert-p-02	chast-p-02	links
chetvert-p-03	chast-p-03	links
chetvert-p-04	chast-p-04	links
chetvert-p-05	chast-p-05	links
chetvert-p-06	chast-p-06	links
chetvert-p-07	chast-p-07	links
chetvert-p-08	chast-p-08	links
chetvert-p-09	chast-p-09	links
chetvert-p-10	chast-p-10	links
chetvert-p-11	chast-p-11	links
chetvert-p-12	chast-p-12	links
chetvert-p-13	chast-p-13	links
chetvert-p-14	chast-p-14	links
chetvert-p-15	chast-p-15	links
chetvert-p-16	chast-p-16	links
chetvert-p-17	chast-p-17	links
chetvert-p-18	chast-p-18	links
chetvert-p-19	chast-p-19	links
chetvert-p-20	chast-p-20	links
chetvert-p-21	chast-p-21	links
chetvert-p-22	chast-p-22	links
chetvert-p-23	chast-p-23	links
chetvert-p-24	chast-p-24	links
chetvert-p-25	chast-p-25	links
chetvert-p-26	chast-p-26	links
chetvert-p-27	chast-p-27	links
chetvert-p-28	god-p-28	links
chetvert-p-29	god-p-29	links
chetvert-p-30	god-p-30	links
chetvert-p-31	god-p-31	links
chetvert-p-32	god-p-32	links
chetvert-p-33	god-p-33	links
god-p-01	p-01	links
god-p-02	p-02	links
god-p-03	p-03	links
god-p-04	p-04	links
god-p-05	p-05	links
god-p-06	p-06	links
god-p-07	p-07	links
god-p-08	p-08	links
god-p-09	p-09	links
god-p-10	p-10	links
god-p-11	p-11	links
god-p-12	p-12	links
god-p-13	p-13	links
god-p-14	p-14	links
god-p-15	p-15	links
god-p-16	p-16	links
god-p-17	p-17	links
god-p-18	p-18	links
god-p-19	p-19	links
god-p-20	p-20	links
god-p-21	p-21	links
god-p-22	p-22	links
god-p-23	p-23	links
god-p-24	p-24	links
god-p-25	p-25	links
god-p-26	p-26	links
god-p-27	p-27	links
god-p-28	p-28	links
god-p-29	p-29	links
god-p-30	p-30	links
god-p-31	p-31	links
god-p-32	p-32	links
god-p-33	p-33	links
lekciya-p-01	chetvert-p-01	links
obzory/funkciya-putey-i-ee-uravneniya/RAZVEDKA-2026-09-03.md	kart-q-otrazheniya-maj-ne-ploshchad	links
obzory/funkciya-putey-i-ee-uravneniya/RAZVEDKA-2026-09-03.md	kart-q-otrazheniya-maj-ne-ploshchad	links
chebyshev	kart-chebyshev-smysl	links
izobrazheniya	kart-izobrazheniya-otrazhenie	links
spektr	kart-polyusa-spektr	links
q-kontinuanty	kart-q-kontinuanty	links
polyusa-rost	kart-polyusa-spektr	links
net-q-spektra	kart-q-spektr-granica	links
rodzhers-ramanudzhan	kart-rr-dve-storony	links
kurs-puti-i-volny/HREBET-kursa.md	kart-polyusa-spektr	links
kurs-puti-i-volny/HREBET-kursa.md	kart-chebyshev-smysl	links
kurs-puti-i-volny/HREBET-kursa.md	kart-izobrazheniya-otrazhenie	links
kurs-puti-i-volny/HREBET-kursa.md	kart-rr-dve-storony	links
kurs-puti-i-volny/OBEKT.md	kart-izobrazheniya-otrazhenie	links
kurs-puti-i-volny/OBEKT.md	kart-chebyshev-smysl	links
kurs-puti-i-volny/OBEKT.md	kart-q-kontinuanty	links
kurs-puti-i-volny/OBEKT.md	kart-polyusa-spektr	links
kurs-puti-i-volny/PAZL.md	kart-dva-q-katalana	links
kurs-puti-i-volny/PAZL.md	kart-izobrazheniya-otrazhenie	links
kurs-puti-i-volny/PAZL.md	kart-chebyshev-smysl	links
kurs-puti-i-volny/PAZL.md	kart-polyusa-spektr	links
kurs-puti-i-volny/PAZL.md	kart-q-otrazheniya-maj-ne-ploshchad	links
kurs-puti-i-volny/PAZL.md	kart-q-kontinuanty	links
kurs-puti-i-volny/PAZL.md	kart-q-spektr-granica	links
kurs-puti-i-volny/PAZL.md	kart-potolok-est-finitizaciya	links
kurs-puti-i-volny/PAZL.md	kart-eyler-vypadaet	links
kurs-puti-i-volny/PAZL.md	kart-rr-dve-storony	links
kurs-puti-i-volny/PAZL.md	kart-dom-teorem-vienno	links
kurs-puti-i-volny/RASSKAZ-god.md	p-01	links
kurs-puti-i-volny/RASSKAZ-god.md	p-15	links
kurs-puti-i-volny/RASSKAZ-god.md	p-16	links
kurs-puti-i-volny/RASSKAZ-god.md	p-17	links
kurs-puti-i-volny/RASSKAZ-god.md	p-02	links
kurs-puti-i-volny/RASSKAZ-god.md	p-06	links
kurs-puti-i-volny/RASSKAZ-god.md	p-17	links
kurs-puti-i-volny/RASSKAZ-god.md	p-09	links
kurs-puti-i-volny/RASSKAZ-god.md	p-18	links
kurs-puti-i-volny/RASSKAZ-god.md	p-02	links
kurs-puti-i-volny/RASSKAZ-god.md	p-19	links
kurs-puti-i-volny/RASSKAZ-god.md	p-28	links
kurs-puti-i-volny/RASSKAZ-god.md	p-29	links
kurs-puti-i-volny/RASSKAZ-god.md	p-30	links
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	god-p-01	links
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	god-p-02	links
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	god-p-03	links
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	god-p-04	links
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	god-p-05	links
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	god-p-06	links
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	god-p-07	links
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	god-p-08	links
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	god-p-09	links
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	god-p-10	links
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	god-p-11	links
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	god-p-12	links
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	god-p-13	links
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	god-p-14	links
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	god-p-15	links
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	god-p-16	links
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	god-p-17	links
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	god-p-18	links
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	god-p-19	links
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	god-p-20	links
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	god-p-21	links
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	god-p-22	links
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	god-p-23	links
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	god-p-24	links
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	god-p-25	links
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	god-p-26	links
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	god-p-27	links
kurs-puti-i-volny/plan/src/chetvert-1.md	chast-p-01	links
kurs-puti-i-volny/plan/src/chetvert-1.md	chast-p-02	links
kurs-puti-i-volny/plan/src/chetvert-1.md	chast-p-03	links
kurs-puti-i-volny/plan/src/chetvert-1.md	chast-p-04	links
kurs-puti-i-volny/plan/src/chetvert-1.md	chast-p-05	links
kurs-puti-i-volny/plan/src/chetvert-1.md	chast-p-06	links
kurs-puti-i-volny/plan/src/chetvert-2.md	chast-p-07	links
kurs-puti-i-volny/plan/src/chetvert-2.md	chast-p-08	links
kurs-puti-i-volny/plan/src/chetvert-2.md	chast-p-09	links
kurs-puti-i-volny/plan/src/chetvert-2.md	chast-p-10	links
kurs-puti-i-volny/plan/src/chetvert-2.md	chast-p-11	links
kurs-puti-i-volny/plan/src/chetvert-2.md	chast-p-12	links
kurs-puti-i-volny/plan/src/chetvert-2.md	chast-p-13	links
kurs-puti-i-volny/plan/src/chetvert-2.md	chast-p-14	links
kurs-puti-i-volny/plan/src/chetvert-3.md	chast-p-15	links
kurs-puti-i-volny/plan/src/chetvert-3.md	chast-p-16	links
kurs-puti-i-volny/plan/src/chetvert-3.md	chast-p-17	links
kurs-puti-i-volny/plan/src/chetvert-3.md	chast-p-18	links
kurs-puti-i-volny/plan/src/chetvert-3.md	chast-p-19	links
kurs-puti-i-volny/plan/src/chetvert-3.md	chast-p-20	links
kurs-puti-i-volny/plan/src/chetvert-3.md	chast-p-21	links
kurs-puti-i-volny/plan/src/chetvert-3.md	chast-p-22	links
kurs-puti-i-volny/plan/src/chetvert-3.md	chast-p-23	links
kurs-puti-i-volny/plan/src/chetvert-4.md	chast-p-24	links
kurs-puti-i-volny/plan/src/chetvert-4.md	chast-p-25	links
kurs-puti-i-volny/plan/src/chetvert-4.md	chast-p-26	links
kurs-puti-i-volny/plan/src/chetvert-4.md	chast-p-27	links
kurs-puti-i-volny/plan/src/chetvert-4.md	god-p-28	links
kurs-puti-i-volny/plan/src/chetvert-4.md	god-p-29	links
kurs-puti-i-volny/plan/src/chetvert-4.md	god-p-30	links
kurs-puti-i-volny/plan/src/chetvert-4.md	god-p-31	links
kurs-puti-i-volny/plan/src/chetvert-4.md	god-p-32	links
kurs-puti-i-volny/plan/src/chetvert-4.md	god-p-33	links
kurs-puti-i-volny/plan/src/god.md	p-01	links
kurs-puti-i-volny/plan/src/god.md	p-02	links
kurs-puti-i-volny/plan/src/god.md	p-03	links
kurs-puti-i-volny/plan/src/god.md	p-04	links
kurs-puti-i-volny/plan/src/god.md	p-05	links
kurs-puti-i-volny/plan/src/god.md	p-06	links
kurs-puti-i-volny/plan/src/god.md	p-07	links
kurs-puti-i-volny/plan/src/god.md	p-08	links
kurs-puti-i-volny/plan/src/god.md	p-09	links
kurs-puti-i-volny/plan/src/god.md	p-10	links
kurs-puti-i-volny/plan/src/god.md	p-11	links
kurs-puti-i-volny/plan/src/god.md	p-12	links
kurs-puti-i-volny/plan/src/god.md	p-13	links
kurs-puti-i-volny/plan/src/god.md	p-14	links
kurs-puti-i-volny/plan/src/god.md	p-15	links
kurs-puti-i-volny/plan/src/god.md	p-16	links
kurs-puti-i-volny/plan/src/god.md	p-17	links
kurs-puti-i-volny/plan/src/god.md	p-18	links
kurs-puti-i-volny/plan/src/god.md	p-19	links
kurs-puti-i-volny/plan/src/god.md	p-20	links
kurs-puti-i-volny/plan/src/god.md	p-21	links
kurs-puti-i-volny/plan/src/god.md	p-22	links
kurs-puti-i-volny/plan/src/god.md	p-23	links
kurs-puti-i-volny/plan/src/god.md	p-24	links
kurs-puti-i-volny/plan/src/god.md	p-25	links
kurs-puti-i-volny/plan/src/god.md	p-26	links
kurs-puti-i-volny/plan/src/god.md	p-27	links
kurs-puti-i-volny/plan/src/god.md	p-28	links
kurs-puti-i-volny/plan/src/god.md	p-29	links
kurs-puti-i-volny/plan/src/god.md	p-30	links
kurs-puti-i-volny/plan/src/god.md	p-31	links
kurs-puti-i-volny/plan/src/god.md	p-32	links
kurs-puti-i-volny/plan/src/god.md	p-33	links
kurs-puti-i-volny/plan/src/lekciya-1.md	chetvert-p-01	links
obzory/funkciya-putey-i-ee-uravneniya/RAZVEDKA-2026-09-03.md	kart-q-otrazheniya-maj-ne-ploshchad	links
obzory/funkciya-putey-i-ee-uravneniya/RAZVEDKA-2026-09-03.md	kart-q-otrazheniya-maj-ne-ploshchad	links
obzory/funkciya-putey-i-ee-uravneniya/SKELET.md	kart-chebyshev-smysl	links
obzory/funkciya-putey-i-ee-uravneniya/SKELET.md	kart-izobrazheniya-otrazhenie	links
obzory/funkciya-putey-i-ee-uravneniya/SKELET.md	kart-polyusa-spektr	links
obzory/funkciya-putey-i-ee-uravneniya/SKELET.md	kart-q-kontinuanty	links
obzory/funkciya-putey-i-ee-uravneniya/SKELET.md	kart-polyusa-spektr	links
obzory/funkciya-putey-i-ee-uravneniya/SKELET.md	kart-q-spektr-granica	links
obzory/funkciya-putey-i-ee-uravneniya/SKELET.md	kart-rr-dve-storony	links
catalan/kartoteka/kart-al-salam-ismail-dom.md	kart-potolok-est-finitizaciya	links
catalan/kartoteka/kart-al-salam-ismail-dom.md	kart-dom-teorem-vienno	links
catalan/kartoteka/kart-al-salam-ismail-dom.md	kart-q-menyaet-tip-spektra	links
catalan/kartoteka/kart-centralnaya-para.md	kart-chebyshev-smysl	links
catalan/kartoteka/kart-centralnaya-para.md	kart-polyusa-spektr	links
catalan/kartoteka/kart-centralnaya-para.md	kart-izobrazheniya-otrazhenie	links
catalan/kartoteka/kart-centralnaya-para.md	kart-polosa-ili-okruzhnost	links
catalan/kartoteka/kart-chebyshev-smysl.md	kart-polyusa-spektr	links
catalan/kartoteka/kart-chebyshev-smysl.md	kart-q-kontinuanty	links
catalan/kartoteka/kart-dom-teorem-vienno.md	kart-chebyshev-smysl	links
catalan/kartoteka/kart-dom-teorem-vienno.md	kart-q-kontinuanty	links
catalan/kartoteka/kart-dom-teorem-vienno.md	kart-q-otrazheniya-maj-ne-ploshchad	links
catalan/kartoteka/kart-dva-q-katalana.md	kart-q-otrazheniya-maj-ne-ploshchad	links
catalan/kartoteka/kart-dva-q-katalana.md	kart-q-kontinuanty	links
catalan/kartoteka/kart-eyler-vypadaet.md	kart-potolok-est-finitizaciya	links
catalan/kartoteka/kart-eyler-vypadaet.md	kart-q-otrazheniya-maj-ne-ploshchad	links
catalan/kartoteka/kart-eyler-vypadaet.md	kart-jtp-mesto	links
catalan/kartoteka/kart-izobrazheniya-otrazhenie.md	kart-q-otrazheniya-maj-ne-ploshchad	links
catalan/kartoteka/kart-izobrazheniya-otrazhenie.md	kart-q-kontinuanty	links
catalan/kartoteka/kart-jtp-mesto.md	kart-q-otrazheniya-maj-ne-ploshchad	links
catalan/kartoteka/kart-jtp-mesto.md	kart-rr-dve-storony	links
catalan/kartoteka/kart-jtp-mesto.md	kart-izobrazheniya-otrazhenie	links
catalan/kartoteka/kart-normirovka-starta.md	kart-q-kontinuanty	links
catalan/kartoteka/kart-obshchee-prostee.md	kart-porog-ngr	links
catalan/kartoteka/kart-okruzhnost-kanal.md	kart-starter-parametr	links
catalan/kartoteka/kart-polosa-ili-okruzhnost.md	kart-okruzhnost-kanal	links
catalan/kartoteka/kart-polosa-ili-okruzhnost.md	kart-centralnaya-para	links
catalan/kartoteka/kart-polyusa-spektr.md	kart-chebyshev-smysl	links
catalan/kartoteka/kart-porog-ngr.md	kart-starter-parametr	links
catalan/kartoteka/kart-porog-ngr.md	kart-izobrazheniya-otrazhenie	links
catalan/kartoteka/kart-potolok-est-finitizaciya.md	kart-predel-q-zamknuto	links
catalan/kartoteka/kart-potolok-est-finitizaciya.md	kart-eyler-vypadaet	links
catalan/kartoteka/kart-potolok-est-finitizaciya.md	kart-al-salam-ismail-dom	links
catalan/kartoteka/kart-potolok-est-finitizaciya.md	kart-rr-dve-storony	links
catalan/kartoteka/kart-predel-q-zamknuto.md	kart-q-kontinuanty	links
catalan/kartoteka/kart-predel-q-zamknuto.md	kart-rr-dve-storony	links
catalan/kartoteka/kart-predel-q-zamknuto.md	kart-predel-q-zamknuto	links
catalan/kartoteka/kart-q-kontinuanty.md	kart-normirovka-starta	links
catalan/kartoteka/kart-q-kontinuanty.md	kart-q-spektr-granica	links
catalan/kartoteka/kart-q-kontinuanty.md	kart-dom-teorem-vienno	links
catalan/kartoteka/kart-q-kontinuanty.md	kart-predel-q-zamknuto	links
catalan/kartoteka/kart-q-menyaet-tip-spektra.md	kart-q-spektr-granica	links
catalan/kartoteka/kart-q-menyaet-tip-spektra.md	kart-al-salam-ismail-dom	links
catalan/kartoteka/kart-q-menyaet-tip-spektra.md	kart-tri-prochteniya-plus-predel	links
catalan/kartoteka/kart-q-otrazheniya-maj-ne-ploshchad.md	kart-izobrazheniya-otrazhenie	links
catalan/kartoteka/kart-q-otrazheniya-maj-ne-ploshchad.md	kart-jtp-mesto	links
catalan/kartoteka/kart-q-otrazheniya-maj-ne-ploshchad.md	kart-q-kontinuanty	links
catalan/kartoteka/kart-q-otrazheniya-maj-ne-ploshchad.md	kart-dva-q-katalana	links
catalan/kartoteka/kart-q-spektr-granica.md	kart-q-kontinuanty	links
catalan/kartoteka/kart-q-spektr-granica.md	kart-polyusa-spektr	links
catalan/kartoteka/kart-rr-dve-storony.md	kart-q-otrazheniya-maj-ne-ploshchad	links
catalan/kartoteka/kart-rr-dve-storony.md	kart-jtp-mesto	links
catalan/kartoteka/kart-rr-dve-storony.md	kart-predel-q-zamknuto	links
catalan/kartoteka/kart-starter-parametr.md	kart-normirovka-starta	links
catalan/kartoteka/kart-starter-parametr.md	kart-porog-ngr	links
catalan/kartoteka/kart-tri-normirovki-ploshchadi.md	kart-normirovka-starta	links
catalan/kartoteka/kart-tri-normirovki-ploshchadi.md	kart-dva-q-katalana	links
catalan/kartoteka/kart-tri-prochteniya-plus-predel.md	kart-centralnaya-para	links
catalan/kartoteka/kart-tri-prochteniya-plus-predel.md	kart-q-menyaet-tip-spektra	links
catalan/kartoteka/kart-tri-prochteniya-plus-predel.md	kart-dom-teorem-vienno	links
kurs-puti-i-volny/RASSKAZ-god.md	rasskaz-g1	contains
kurs-puti-i-volny/RASSKAZ-god.md	rasskaz-g2	contains
kurs-puti-i-volny/RASSKAZ-god.md	rasskaz-g3	contains
kurs-puti-i-volny/RASSKAZ-god.md	rasskaz-g4	contains
kurs-puti-i-volny/RASSKAZ-god.md	rasskaz-g5	contains
kurs-puti-i-volny/RASSKAZ-god.md	rasskaz-g6	contains
kurs-puti-i-volny/RASSKAZ-god.md	rasskaz-g7	contains
kurs-puti-i-volny/RASSKAZ-god.md	rasskaz-g8	contains
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	chast-p-01	contains
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	chast-p-02	contains
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	chast-p-03	contains
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	chast-p-04	contains
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	chast-p-05	contains
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	chast-p-06	contains
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	chast-p-07	contains
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	chast-p-08	contains
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	chast-p-09	contains
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	chast-p-10	contains
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	chast-p-11	contains
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	chast-p-12	contains
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	chast-p-13	contains
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	chast-p-14	contains
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	chast-p-15	contains
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	chast-p-16	contains
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	chast-p-17	contains
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	chast-p-18	contains
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	chast-p-19	contains
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	chast-p-20	contains
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	chast-p-21	contains
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	chast-p-22	contains
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	chast-p-23	contains
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	chast-p-24	contains
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	chast-p-25	contains
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	chast-p-26	contains
kurs-puti-i-volny/plan/src/chast-1-do-analiza.md	chast-p-27	contains
kurs-puti-i-volny/plan/src/chetvert-1.md	chetvert-p-01	contains
kurs-puti-i-volny/plan/src/chetvert-1.md	chetvert-p-02	contains
kurs-puti-i-volny/plan/src/chetvert-1.md	chetvert-p-03	contains
kurs-puti-i-volny/plan/src/chetvert-1.md	chetvert-p-04	contains
kurs-puti-i-volny/plan/src/chetvert-1.md	chetvert-p-05	contains
kurs-puti-i-volny/plan/src/chetvert-1.md	chetvert-p-06	contains
kurs-puti-i-volny/plan/src/chetvert-2.md	chetvert-p-07	contains
kurs-puti-i-volny/plan/src/chetvert-2.md	chetvert-p-08	contains
kurs-puti-i-volny/plan/src/chetvert-2.md	chetvert-p-09	contains
kurs-puti-i-volny/plan/src/chetvert-2.md	chetvert-p-10	contains
kurs-puti-i-volny/plan/src/chetvert-2.md	chetvert-p-11	contains
kurs-puti-i-volny/plan/src/chetvert-2.md	chetvert-p-12	contains
kurs-puti-i-volny/plan/src/chetvert-2.md	chetvert-p-13	contains
kurs-puti-i-volny/plan/src/chetvert-2.md	chetvert-p-14	contains
kurs-puti-i-volny/plan/src/chetvert-3.md	chetvert-p-15	contains
kurs-puti-i-volny/plan/src/chetvert-3.md	chetvert-p-16	contains
kurs-puti-i-volny/plan/src/chetvert-3.md	chetvert-p-17	contains
kurs-puti-i-volny/plan/src/chetvert-3.md	chetvert-p-18	contains
kurs-puti-i-volny/plan/src/chetvert-3.md	chetvert-p-19	contains
kurs-puti-i-volny/plan/src/chetvert-3.md	chetvert-p-20	contains
kurs-puti-i-volny/plan/src/chetvert-3.md	chetvert-p-21	contains
kurs-puti-i-volny/plan/src/chetvert-3.md	chetvert-p-22	contains
kurs-puti-i-volny/plan/src/chetvert-3.md	chetvert-p-23	contains
kurs-puti-i-volny/plan/src/chetvert-4.md	chetvert-p-24	contains
kurs-puti-i-volny/plan/src/chetvert-4.md	chetvert-p-25	contains
kurs-puti-i-volny/plan/src/chetvert-4.md	chetvert-p-26	contains
kurs-puti-i-volny/plan/src/chetvert-4.md	chetvert-p-27	contains
kurs-puti-i-volny/plan/src/chetvert-4.md	chetvert-p-28	contains
kurs-puti-i-volny/plan/src/chetvert-4.md	chetvert-p-29	contains
kurs-puti-i-volny/plan/src/chetvert-4.md	chetvert-p-30	contains
kurs-puti-i-volny/plan/src/chetvert-4.md	chetvert-p-31	contains
kurs-puti-i-volny/plan/src/chetvert-4.md	chetvert-p-32	contains
kurs-puti-i-volny/plan/src/chetvert-4.md	chetvert-p-33	contains
kurs-puti-i-volny/plan/src/god.md	god-p-01	contains
kurs-puti-i-volny/plan/src/god.md	god-p-02	contains
kurs-puti-i-volny/plan/src/god.md	god-p-03	contains
kurs-puti-i-volny/plan/src/god.md	god-p-04	contains
kurs-puti-i-volny/plan/src/god.md	god-p-05	contains
kurs-puti-i-volny/plan/src/god.md	god-p-06	contains
kurs-puti-i-volny/plan/src/god.md	god-p-07	contains
kurs-puti-i-volny/plan/src/god.md	god-p-08	contains
kurs-puti-i-volny/plan/src/god.md	god-p-09	contains
kurs-puti-i-volny/plan/src/god.md	god-p-10	contains
kurs-puti-i-volny/plan/src/god.md	god-p-11	contains
kurs-puti-i-volny/plan/src/god.md	god-p-12	contains
kurs-puti-i-volny/plan/src/god.md	god-p-13	contains
kurs-puti-i-volny/plan/src/god.md	god-p-14	contains
kurs-puti-i-volny/plan/src/god.md	god-p-15	contains
kurs-puti-i-volny/plan/src/god.md	god-p-16	contains
kurs-puti-i-volny/plan/src/god.md	god-p-17	contains
kurs-puti-i-volny/plan/src/god.md	god-p-18	contains
kurs-puti-i-volny/plan/src/god.md	god-p-19	contains
kurs-puti-i-volny/plan/src/god.md	god-p-20	contains
kurs-puti-i-volny/plan/src/god.md	god-p-21	contains
kurs-puti-i-volny/plan/src/god.md	god-p-22	contains
kurs-puti-i-volny/plan/src/god.md	god-p-23	contains
kurs-puti-i-volny/plan/src/god.md	god-p-24	contains
kurs-puti-i-volny/plan/src/god.md	god-p-25	contains
kurs-puti-i-volny/plan/src/god.md	god-p-26	contains
kurs-puti-i-volny/plan/src/god.md	god-p-27	contains
kurs-puti-i-volny/plan/src/god.md	god-p-28	contains
kurs-puti-i-volny/plan/src/god.md	god-p-29	contains
kurs-puti-i-volny/plan/src/god.md	god-p-30	contains
kurs-puti-i-volny/plan/src/god.md	god-p-31	contains
kurs-puti-i-volny/plan/src/god.md	god-p-32	contains
kurs-puti-i-volny/plan/src/god.md	god-p-33	contains
kurs-puti-i-volny/plan/src/lekciya-1.md	lekciya-p-01	contains
kurs-puti-i-volny/plan/src/punkty.md	p-01	contains
kurs-puti-i-volny/plan/src/punkty.md	p-02	contains
kurs-puti-i-volny/plan/src/punkty.md	p-03	contains
kurs-puti-i-volny/plan/src/punkty.md	p-04	contains
kurs-puti-i-volny/plan/src/punkty.md	p-05	contains
kurs-puti-i-volny/plan/src/punkty.md	p-06	contains
kurs-puti-i-volny/plan/src/punkty.md	p-07	contains
kurs-puti-i-volny/plan/src/punkty.md	p-08	contains
kurs-puti-i-volny/plan/src/punkty.md	p-09	contains
kurs-puti-i-volny/plan/src/punkty.md	p-10	contains
kurs-puti-i-volny/plan/src/punkty.md	p-11	contains
kurs-puti-i-volny/plan/src/punkty.md	p-12	contains
kurs-puti-i-volny/plan/src/punkty.md	p-13	contains
kurs-puti-i-volny/plan/src/punkty.md	p-14	contains
kurs-puti-i-volny/plan/src/punkty.md	p-15	contains
kurs-puti-i-volny/plan/src/punkty.md	p-16	contains
kurs-puti-i-volny/plan/src/punkty.md	p-17	contains
